,Ortho,Phono,Length,LogFreq,meanRT
16299,hibachi,hIbACi,7,2.3,847.7307692
16300,hibernate,h!b#net,9,4.72,787.2857143
16301,hibernation,h!b#neSn,11,5.45,774.7
16302,hibiscus,hIbIsk@s,8,4.84,871.95
16303,hiccup,hIkVp,6,5.36,684.4074074
16304,hiccups,hIkVps,7,5.53,720.5517241
16305,hick,hIk,4,6.07,618.7241379
16306,hickory,hIk#ri,7,5.91,639.6896552
16307,hicks,hIks,5,7.35,565.9333333
16308,hid,hId,3,7.38,598.6896552
16309,hidden,hIdn,6,9.81,610.8571429
16310,hide,h!d,4,9.55,570.0967742
16311,hideaway,h!t@we,8,5.33,621.7407407
16312,hideous,hIti@s,7,7.41,643.1111111
16313,hideously,hIti@sli,9,5.85,757.2592593
16314,hideout,h!t0t,7,5.47,635.5714286
16315,hides,h!dz,5,7.59,733.9333333
16316,hiding,h!tIN,6,8.82,688.7096774
16317,hierarchical,h!rArkIkL,12,7.6,901.9
16318,hierarchies,h!rArkiz,11,7.9,912.7407407
16319,hierarchy,h!rArki,9,9.52,843.7241379
16320,hieroglyph,h!r@glIf,10,3.33,1229.944444
16321,hieroglyphic,h!r@glIfIk,12,4.33,1252.136364
16322,hifalutin,h!f@lutn,9,1.1,939.1666667
16323,high,h!,4,12.13,572.1333333
16324,highball,h!bOl,8,3.5,667
16325,highboard,h!bOrd,9,0,719.3793103
16326,highborn,h!bOrn,8,1.61,664.9285714
16327,highbrow,h!br0,8,4.62,670.9285714
16328,higher,h!#,6,11.02,593.2413793
16329,highest,h!Ist,7,9.93,621.3225806
16330,highfalutin,h!f@lutn,11,2.08,1113.214286
16331,highland,h!l@nd,8,7.52,602.2142857
16332,Highlander,h!l@nt#,10,7.76,741.8275862
16333,highlands,h!l@ndz,9,6.82,650.1111111
16334,highlight,h!l!t,9,8.07,633.3333333
16335,highlighting,h!l!tIN,12,7.22,720.9333333
16336,highlights,h!l!ts,10,8.29,589.5862069
16337,highly,h!li,6,10.61,667.7857143
16338,highness,h!n@s,8,5.55,652.1111111
16339,highroad,h!rod,8,1.1,772.5
16340,highs,h!z,5,7.25,664.4516129
16341,highschool,h!skul,10,6.57,594.2333333
16342,highway,h!we,7,9.33,608.2068966
16343,highwayman,h!wem@n,10,3.71,805.9666667
16344,highways,h!wez,8,7.47,717.5806452
16345,hijack,h!Jak,6,5.48,634.6206897
16346,hijacked,h!Jakt,8,5.51,705.6153846
16347,hijackers,h!Jak#z,9,3.91,661.4642857
16348,hijacking,h!JakIN,9,5.19,650.2
16349,hike,h!k,4,7.78,565.4
16350,hiked,h!kt,5,6.17,566
16351,hiker,h!k#,5,6.9,577.1333333
16352,hikes,h!ks,5,6.77,605.8333333
16353,hiking,h!kIN,6,8.04,585.5333333
16354,hilarious,hIlEri@s,9,8,629.6551724
16355,hilariously,hIlEri@sli,11,4.88,693.7931034
16356,hilarity,hIlar@ti,8,4.94,739.7407407
16357,hill,hIl,4,10.35,551.3333333
16358,Hillary,hIl#ri,7,8.42,609.24
16359,hillbilly,hIlbIli,9,5.91,794.8518519
16360,hills,hIlz,5,9.25,559.3548387
16361,hillside,hIls!d,8,6.27,712.8787879
16362,hilltops,hIltAps,8,2.71,688.5714286
16363,hilly,hIli,5,6.31,665.9642857
16364,hilt,hIlt,4,6.57,621.1333333
16365,him,hIm,3,12.82,541.1333333
16366,Himalayas,hIm@le@z,9,5.59,769.44
16367,himself,hImsElf,7,10.94,660.1481481
16368,Hinckley,hINkli,8,5.72,1014.684211
16369,hind,h!nd,4,9.47,614.84
16370,hinder,hInt#,6,6.81,690.8275862
16371,hindered,hInt#d,8,5.93,715.1290323
16372,hindering,hInt#IN,9,5.22,690.2857143
16373,hinders,hInt#z,7,5.39,643.1428571
16374,Hindi,hInti,5,7.38,758.9259259
16375,hindmost,h!ndmost,8,3.18,817.4210526
16376,hindquarters,h!ndkwOrt#z,12,6.07,903.5
16377,hindrance,hIndr@ns,9,5.89,840.2666667
16378,hindrances,hIndr@ns@z,10,3.85,892.5185185
16379,hindsight,h!nds!t,9,6.84,819.6296296
16380,Hindu,hIndu,5,8.39,666.137931
16381,Hinduism,hInduIzm,8,7.5,737.1724138
16382,Hindus,hInduz,6,7.82,744.047619
16383,hinge,hInJ,5,6.86,595.1481481
16384,hinged,hInJd,6,6.35,748.2857143
16385,hinges,hInJ@z,6,6.75,632.25
16386,hint,hInt,4,9.26,707.3333333
16387,hinted,hInt@d,6,6.83,808.3666667
16388,hinterland,hInt#land,10,4.67,1041.222222
16389,hinterlands,hInt#landz,11,4.36,1019.727273
16390,hinting,hIntIN,7,6.21,688.2857143
16391,hints,hInts,5,9.2,666.5
16392,hip,hIp,3,8.83,613.4666667
16393,hipline,hIpl!n,7,2.56,635.7777778
16394,hippie,hIpi,6,6.47,614.7777778
16395,hippo,hIpo,5,5.89,620.6206897
16396,Hippocrates,hIpAkr@tiz,11,5.53,1295.428571
16397,hippodrome,hIp@drom,10,3.43,968.1363636
16398,hippopotamus,hIp@pAt@m@s,12,4.68,871.3461538
16399,hips,hIps,4,8.81,717.5172414
16400,hipster,hIpst#,7,3.47,685.6153846
16401,hire,h!r,4,9.38,571.2580645
16402,hired,h!rd,5,8.7,592.4666667
16403,hirelings,h!rlINz,9,3.4,938.2307692
16404,hires,h!rz,5,7.11,639.4
16405,hiring,h!rIN,6,8.68,660.8275862
16406,Hiroshima,hIroSim@,9,7.3,868.9655172
16407,his,hIz,3,13.64,709.8275862
16408,Hispanic,hIspanIk,8,7.43,734.2333333
16409,hiss,hIs,4,7.03,630.6428571
16410,hissed,hIst,6,6.31,614
16411,hissing,hIsIN,7,6.14,552.1034483
16412,histamine,hIst@min,9,4.58,879.2142857
16413,histology,hIstAl@Ji,9,4.06,1014.16
16414,historian,hIstOri@n,9,7.89,676.4827586
16415,historians,hIstOri@nz,10,7.89,759.8709677
16416,historic,hIstOrIk,8,8.32,709.5714286
16417,historical,hIstOrIkL,10,9.88,708
16418,historically,hIstOrIkli,12,8.33,764.3214286
16419,historicism,hIstOrIsIzm,11,3.69,969.4583333
16420,histories,hIst#riz,9,7.75,666.3793103
16421,history,hIst#ri,7,11.38,645.8666667
16422,histrionic,hIstriAnIk,10,3.81,1094.217391
16423,histrionics,hIstriAnIks,11,4.13,931.3125
16424,hit,hIt,3,11.07,603.7058824
16425,hitch,hIC,5,7.37,545.7037037
16426,Hitchcock,hICkAk,9,7.21,772.6153846
16427,hitched,hICt,7,5.19,657.4482759
16428,hitchhike,hICh!k,9,4.09,760.3333333
16429,hitchhiker,hICh!k#,10,5.71,761.16
16430,hitching,hICIN,8,5,816.75
16431,hither,hID#,6,5.65,687.137931
16432,hitherto,hID#tu,8,5.91,777.3333333
16433,Hitler,hItl#,6,9.13,606.8965517
16434,hitless,hItl@s,7,1.95,615.5714286
16435,hits,hIts,4,9.67,579.7586207
16436,hitter,hIt#,6,6.8,609.6206897
16437,hitters,hIt#z,7,6.35,602.8965517
16438,hitting,hItIN,7,9.17,651.7586207
16439,hive,h!v,4,8.22,612.7241379
16440,hives,h!vz,5,5.9,678.8928571
16441,hoagy,hogi,5,3.64,880.72
16442,hoar,hOr,4,6,667.2105263
16443,hoard,hOrd,5,6.27,641.7931034
16444,hoarse,hOrs,6,5.36,700.7692308
16445,hoarsely,hOrsli,8,4.2,771.2333333
16446,hoarseness,hOrsn@s,10,3.3,922.2592593
16447,hoary,hOri,5,4.8,881.45
16448,hoax,hoks,4,7.72,602.1935484
16449,hoaxes,hoks@z,6,5.24,671.037037
16450,hobbies,hAbiz,7,7.66,639.1071429
16451,hobble,hAbL,6,4.91,657.2
16452,hobbled,hAbLd,7,5.16,662.2068966
16453,hobby,hAbi,5,8.97,601.0357143
16454,hobbyhorse,hAbihOrs,10,2.77,832.7241379
16455,hobgoblin,hAbgAblIn,9,6.46,903.3
16456,hobnob,hAbnAb,6,2.71,932.0689655
16457,hobo,hobo,4,5.18,643.8518519
16458,hock,hAk,4,6.33,664.2857143
16459,hockey,hAki,6,9.41,572.862069
16460,hocking,hAkIN,7,4.68,657.6428571
16461,hodgepodge,hAJpAJ,10,4.52,877.5714286
16462,hoe,ho,3,6.93,604.8965517
16463,hoes,hoz,4,5.04,656.6129032
16464,hog,hOg,3,7.79,571
16465,Hogan,hog@n,5,8.04,629.6071429
16466,hogging,hOgIN,7,5.88,683.7586207
16467,hogs,hOgz,4,6.56,622.28125
16468,hogshead,hOgzhEd,8,4.57,689.4347826
16469,hogwash,hOgwAS,7,6.26,663.0357143
16470,hoist,hYst,5,6.27,623.7777778
16471,hoisted,hYst@d,7,5.63,771.2758621
16472,hold,hold,4,11.17,565.4137931
16473,holder,hold#,6,8.52,620.5
16474,holders,hold#z,7,8.14,603.5333333
16475,holding,holdIN,7,10.1,591.2758621
16476,holdings,holdINz,8,7.28,595.2142857
16477,holdover,holdov#,8,5.26,830.65625
16478,holdovers,holdov#z,9,3.64,878.2758621
16479,holds,holdz,5,9.57,571.7142857
16480,holdup,holdVp,6,4.54,723.1333333
16481,holdups,holdVps,7,3.26,682.6896552
16482,hole,hol,4,10.16,563.6774194
16483,holed,hold,5,5.41,629.4482759
16484,holes,holz,5,9.38,596.4285714
16485,holiday,hAl@de,7,8.91,641.4285714
16486,holidays,hAl@dez,8,8.3,679.3666667
16487,holies,holiz,6,4.13,784.8695652
16488,holiness,holin@s,8,7.07,664.8846154
16489,Holland,hAl@nd,7,8.76,675
16490,Hollander,hAl@nt#,9,5.86,963.0357143
16491,holler,hAl#,6,5.98,648.7037037
16492,hollered,hAl#d,8,4.62,699.2222222
16493,hollering,hAl#IN,9,4.98,823.8888889
16494,hollow,hAlo,6,8.41,629.7272727
16495,hollowness,hAlon@s,10,3.81,764.3333333
16496,hollows,hAloz,7,4.71,673.0344828
16497,holly,hAli,5,8.33,748.2
16498,hollyhock,hAlihAk,9,2.56,729.8571429
16499,Hollywood,hAliwUd,9,9.12,598.7777778
16500,Holmes,homz,6,8.57,649.6551724
16501,holocaust,hAl@kOst,9,8.85,650.5714286
16502,holograph,hAl@graf,9,3.74,755.7241379
16503,Holstein,holstin,8,4.73,781.0384615
16504,holster,holst#,7,6.23,658.76
16505,holstered,holst#d,9,3.83,842.962963
16506,holy,holi,4,10.21,628.962963
16507,holystones,holistonz,10,0,893.75
16508,homage,hAm@J,6,6.72,821.1428571
16509,home,hom,4,12.16,539.8333333
16510,homebound,homb0nd,9,3.4,652.6
16511,homebuilders,hombIld#z,12,3.78,697.3928571
16512,homebuilding,hombIldIN,12,4.3,724.9285714
16513,homecoming,homkVmIN,10,6.1,629.0344828
16514,homecomings,homkVmINz,11,1.79,846.137931
16515,homegrown,homgron,9,5.56,736.7777778
16516,homeland,homland,8,7.36,625.2413793
16517,homeless,homl@s,8,8.03,582.75
16518,homely,homli,6,4.87,630.7692308
16519,homemade,hommed,8,7.22,725.0344828
16520,homemaker,hommek#,9,4.85,594.9310345
16521,homemakers,hommek#z,10,4.42,677.037037
16522,homeowners,homon#z,10,6.37,697.2258065
16523,Homer,hom#,5,8.86,651.6666667
16524,Homeric,homErIk,7,5.37,1077.913043
16525,homers,hom#z,6,5.35,664.4814815
16526,homerun,homr@n,7,5.11,912.8888889
16527,homes,homz,5,9.19,654.7142857
16528,homesick,homsIk,8,5.44,643.4375
16529,homesickness,homsIkn@s,12,3.61,713.3214286
16530,homespun,homspVn,8,4.5,805.3870968
16531,homestead,homstEd,9,6.59,681.9310345
16532,homesteaders,homstEt#z,12,3.74,781.9333333
16533,homesteads,homstEdz,10,3.71,681.5925926
16534,hometown,homt0n,8,7.25,618.3333333
16535,homeward,homw#d,8,5.37,717.9
16536,homewards,homw#dz,9,1.1,727.6666667
16537,homework,homw#k,8,8.15,617.7931034
16538,homewrecker,homrEk#,11,2.64,729.8571429
16539,homey,homi,5,5.23,773.5172414
16540,homicidal,hAmIs!tL,9,5.94,764.4642857
16541,homicide,hAmIs!d,8,8.02,739.3333333
16542,homily,hAm@li,6,3.71,811.7619048
16543,homing,homIN,6,5.73,735.4137931
16544,hominy,hAm@ni,6,4.04,824.2
16545,homoeopathic,homi@paTIk,12,2.83,1197.571429
16546,homoeopathy,homiAp@Ti,11,2.2,962
16547,homogenate,h@mAJInet,10,1.39,933.0625
16548,homogeneity,hom@J@ni@ti,11,5.18,1026.25
16549,homogeneous,hom@Jini@s,11,6.59,816.8965517
16551,homogenize,h@mAJ@n!z,10,3.58,991.76
16552,homograph,hom@graf,9,1.61,800.2173913
16553,homonym,hAm@nIm,7,3.43,1068.291667
16554,homophone,hom@fon,9,4.42,844.6666667
16555,homosexual,hom@sEkSu@l,10,8.88,654.6666667
16557,homosexuals,hom@sEkSu@lz,11,8.46,668.5
16558,homozygous,homoz!g@s,10,4.6,1050.263158
16559,Honduras,hAndUr@s,8,6.65,873.3703704
16560,hone,hon,4,5.75,658.9
16561,honest,An@st,6,10,585.0344828
16562,honestly,An@stli,8,9.04,609.6785714
16563,honesty,An@sti,7,8.59,641.6333333
16564,honey,hVni,5,9.12,555.2592593
16565,honeybee,hVnibi,8,3.89,656.2068966
16566,honeybees,hVnibiz,9,3.47,649.5714286
16567,honeycomb,hVnikom,9,5.47,747.8214286
16568,honeycombed,hVnikomd,11,2.3,778.7142857
16569,honeydew,hVnidu,8,4.41,747.4333333
16570,honeymoon,hVnimun,9,7.26,777.0967742
16571,honeymooned,hVnimund,11,3.3,792.2692308
16572,honeymooners,hVnimun#z,12,4.97,792.4333333
16573,honeymooning,hVnimunIN,12,3.43,849.0344828
16574,honeysuckle,hVnisVkL,11,4.44,748.1666667
16575,honk,hANk,4,6.07,627.1851852
16576,honkytonks,hANkitANks,10,0,815.6538462
16577,Honolulu,hAn@lulu,8,7.82,737.4
16578,honor,An#,5,9.39,598.1333333
16579,honorable,An#@bL,9,7.88,667.4137931
16580,honorably,An#@bli,9,5.35,736.137931
16581,honorary,An#Eri,8,6.84,894.6153846
16582,honored,An#d,7,7.74,625.6666667
16583,honoree,An#i,7,2.77,799.9230769
16584,honorific,An#IfIk,9,4.97,1108.090909
16585,honoring,An#IN,8,6.56,678.4827586
16586,honors,An#z,6,7.55,612.3214286
16587,hooch,huC,5,4.5,758.5925926
16588,hood,hUd,4,8.93,570.3928571
16589,hoodlum,hudl@m,7,5.16,850.2666667
16590,hoodlums,hudl@mz,8,4.91,704.5714286
16591,hoods,hUdz,5,6.25,678.4285714
16592,hoodwink,hUdwINk,8,3.58,759.4516129
16593,hooey,hui,5,4.97,758.8
16594,hoof,huf,4,6.06,596.4782609
16595,hoofmarks,hufmArks,9,0,777.04
16596,hoofs,hufs,5,3.83,789.0740741
16597,hook,hUk,4,9.36,568.6896552
16598,hooked,hUkt,6,8.86,615.1
16599,hooker,hUk#,6,7,565.3703704
16600,hooking,hUkIN,7,7.42,557.5333333
16601,hooks,hUks,5,7.81,564.8275862
16602,hookup,hUkVp,6,6.36,636
16603,hookups,hUkVps,7,5.32,607.8
16604,hookworm,hUkw#m,8,4.04,767.25
16605,hooky,hUki,5,3.64,682.0714286
16606,hooligan,hulIg@n,8,5.09,849.8666667
16607,hooliganism,hulIg@nIzm,11,4.78,1177.916667
16608,hoop,hup,4,7.15,572.8275862
16609,hoopla,huplA,6,5.7,773.1851852
16610,hoops,hups,5,8.46,594.037037
16611,hooray,h#re,6,6.44,734.9677419
16612,Hoosier,huZ#,7,5.69,786.6666667
16613,hoot,hut,4,6.87,615.5
16614,hooted,hut@d,6,3.22,689.3333333
16615,hooter,hut#,6,3.78,580.7037037
16616,hooting,hutIN,7,4.06,600.6774194
16617,hoots,huts,5,4.66,615.5517241
16618,Hoover,huv#,6,7.78,637.4814815
16619,hooves,huvz,6,5.7,744.8888889
16620,hop,hAp,3,8.41,548.8387097
16621,hope,hop,4,11.92,550.1428571
16622,hoped,hopt,5,8.62,732.3928571
16623,hopeful,hopfL,7,7.26,579.4642857
16624,hopefully,hopfLi,9,9.93,654.1034483
16625,hopefuls,hopfLz,8,4.63,582.25
16626,hopeless,hopl@s,8,7.59,601.5357143
16627,hopelessly,hopl@sli,10,7.27,663.0333333
16628,hopelessness,hopl@sn@s,12,5.98,664.6071429
16629,hopes,hops,5,9.01,575.3214286
16630,hoping,hopIN,6,9.79,700.2857143
16631,hopped,hApt,6,6.57,583.8928571
16632,hopper,hAp#,6,6.92,581.3793103
16633,hopping,hApIN,7,7.18,692.7586207
16634,hops,hAps,4,7.59,646.1851852
16635,hopscotch,hApskAC,9,4.26,735.0333333
16636,Horace,hOr@s,6,7.01,690.0769231
16637,horde,hOrd,5,7.12,814.4666667
16638,hordes,hOrdz,6,8.46,671
16639,horizon,h#r!zn,7,8.4,680.5
16640,horizons,h#r!znz,8,7.26,704.6666667
16641,horizontal,hOrIzAntL,10,8.73,679.3214286
16642,horizontally,hOrIzAntLi,12,7.15,719.8571429
16643,hormone,hOrmon,7,7.47,723.7333333
16644,hormones,hOrmonz,8,7.55,761.6896552
16645,horn,hOrn,4,9.12,715.1333333
16646,hornbill,hOrnbIl,8,2.77,777.5
16647,horned,hOrnd,6,6.04,711.2857143
16648,hornet,hOrn@t,6,8.23,657.7037037
16649,hornpipe,hOrnp!p,8,3.76,845.5185185
16650,horns,hOrnz,5,7.76,592.2222222
16651,horny,hOrni,5,8.07,618.3333333
16652,horoscope,hOr@skop,9,5.83,692.7333333
16653,horrendous,hOrEnt@s,10,7.13,776.037037
16654,horrible,hOr@bL,8,9.04,622.7741935
16655,horribly,hOr@bli,8,7.57,639.8148148
16656,horrid,hOr@d,6,6.92,593.137931
16657,horrific,hOrIfIk,8,6.75,646.8214286
16658,horrified,hOr@f!d,9,6.82,686
16659,horrify,hOr@f!,7,3.47,636.3225806
16660,horrifying,hOr@f!IN,10,6.46,680.7142857
16661,horrifyingly,hOr@f!INli,12,3.95,808.2
16662,horror,hOr#,6,9.46,685.9032258
16663,horrors,hOr#z,7,8.14,608.5185185
16664,horse,hOrs,5,10.08,560.6551724
16665,horseback,hOrsbak,9,6.22,586.75
16666,horsefly,hOrsfl!,8,2.08,617.4814815
16667,horsehair,hOrshEr,9,3.76,776.8214286
16668,horselike,hOrsl!k,9,1.39,642.3548387
16669,horseman,hOrsm@n,8,7.4,666.0666667
16670,horsemanship,hOrsm@nSIp,12,4.61,738.7
16671,horsemeat,hOrsmit,9,3.43,842.2222222
16672,horseplay,hOrsple,9,3.5,611.5357143
16673,horsepower,hOrsp0r,10,7.51,701.6
16674,horseradish,hOrsratIS,11,4.93,885.92
16675,horses,hOrs@z,6,9.03,613.8888889
16676,horseshoe,hOrsSu,9,6.15,724.6774194
16677,horsewhip,hOrshwIp,9,2.48,843.3548387
16678,horsy,hOrsi,5,2.56,728.173913
16680,horticulture,hOrtIkVlC#,12,5.96,865.8461538
16681,hosanna,hozan@,7,4.37,975.9
16682,hose,hoz,4,8.26,666
16683,hosepipe,hozp!p,8,2.2,988.037037
16684,hoses,hoz@z,5,6.94,752.2222222
16685,hosiery,hoZ#ri,7,5.2,801.4
16686,hospice,hAspIs,7,6.55,681.3846154
16687,hospitable,hAsp@t@bL,10,5.4,696.3461538
16688,hospital,hAspItL,8,9.88,592.6896552
16689,hospitality,hAsp@tal@ti,11,7.37,626.6785714
16691,hospitalize,hAspItL!z,11,1.39,737.7777778
16692,hospitalized,hAspItL!zd,12,6.32,706.1666667
16693,hospitals,hAspItLz,9,8.28,610.8214286
16694,host,host,4,10.47,573.4
16695,hostage,hAstIJ,7,7.16,582.25
16696,hostages,hAstIJ@z,8,6.48,721.7666667
16697,hostel,hAstL,6,6.4,687.25
16698,hostelries,hAstLriz,10,2.08,934.2222222
16699,hostess,host@s,7,6.47,667.0666667
16700,hostesses,host@s@z,9,4.57,730.0384615
16701,hostile,hAstL,7,8.44,666.3928571
16702,hostilities,hAstIl@tiz,11,6.42,775.6296296
16703,hostility,hAstIl@ti,9,7.57,717.4137931
16704,hostler,hAsl#,7,2.83,717.375
16705,hosts,hosts,5,9.01,692.4137931
16706,hot,hAt,3,10.85,551.8275862
16707,hotbed,hAtbEd,6,5.61,595.5517241
16708,hotdogs,hAtdOgz,7,4.68,591.0714286
16709,hotel,hotEl,5,9.92,586.5172414
16710,hotels,hotElz,6,8.59,605.2333333
16711,hothead,hAthEd,7,4.37,697.4285714
16712,hotheaded,hAthEt@d,9,3.4,772.6896552
16713,hothouse,hAth0s,8,4.74,670.1612903
16714,hotplate,hAtplet,8,2.83,704.3214286
16715,hotpot,hAtpAt,6,1.39,570.0833333
16716,hotrod,hAtrAd,6,4.43,741.8333333
16717,hotter,hAt#,6,7.29,600
16718,hottest,hAtIst,7,7.88,628.2666667
16719,Houdini,hudini,7,6.22,1055.535714
16720,hound,h0nd,5,7.85,638.1333333
16721,hounds,h0ndz,6,7.39,626.6428571
16722,hour,0r,4,10.75,573.3928571
16723,hourglass,0rglas,9,7.04,678.862069
16724,hours,0rz,5,11.25,588.2727273
16725,house,h0s,5,11.55,625.2758621
16726,houseboat,h0sbot,9,4.61,656.1724138
16727,houseboats,h0sbots,10,3.04,654.2692308
16728,housebound,h0sb0nd,10,3.71,678
16729,houseboy,h0sbY,8,4.09,706.9032258
16732,housebroken,h0sbrok@n,11,5.1,659.4814815
16733,housecoat,h0skot,9,2.77,727.6206897
16734,housecraft,h0skraft,10,0,705.3214286
16735,housed,h0zd,6,6.94,666.7
16736,housedog,h0sdOg,8,0,677.71875
16737,housefather,h0sfAD#,11,0,669.9285714
16738,housefly,h0sfl!,8,2.71,720.4615385
16739,household,h0shold,9,8.58,604.5172414
16740,householder,h0shold#,11,3.97,650.1851852
16741,householders,h0shold#z,12,3.99,734.8461538
16742,households,h0sholdz,10,7.51,642.4848485
16743,housekeeper,h0skip#,11,5.33,689
16744,housekeeping,h0skipIN,12,6.29,685.9310345
16745,houselights,h0sl!ts,11,1.79,653.1071429
16746,housemaid,h0smed,9,2.71,693.6551724
16747,housemaster,h0smast#,11,1.1,708.25
16749,housemother,h0smVD#,11,1.61,750.5185185
16750,housepaint,h0spent,10,0,721.8965517
16751,houses,h0z@z,6,9.37,584.3103448
16752,housetops,h0stAps,9,3.3,721.8928571
16753,housetrained,h0strend,12,3.66,820.6333333
16754,housewarming,h0swOrmIN,12,4.09,777.1666667
16755,housewife,h0sw!f,9,6.59,611.3666667
16756,housewives,h0sw!vz,10,5.73,693.8928571
16757,housework,h0sw#k,9,6.12,681
16758,housing,h0zIN,7,9.08,621
16759,Houston,hjust@n,7,9.8,1089.533333
16760,hover,hVv#,5,6.59,733.3793103
16761,hovercraft,hVv#kraft,10,5.39,804.3571429
16762,hovered,hVv#d,7,5.87,745.7241379
16763,hovering,hVv#IN,8,6.7,714.0344828
16764,hovers,hVv#z,6,5.35,702.9310345
16765,how,h0,3,13.52,574.4333333
16766,Howard,h0#d,6,9.68,636.6428571
16767,howdy,h0ti,5,7.57,660.6206897
16768,however,h0Ev#,7,12.35,638.6774194
16769,howl,h0l,4,8.08,671.4827586
16770,howled,h0ld,6,5.61,614.6296296
16771,howling,h0lIN,7,8.32,596.2592593
16772,howls,h0lz,5,6.06,701.3928571
16773,howsoever,h0soEv#,9,3.74,1139.153846
16774,hub,hVb,3,8.41,583.1666667
16775,hubbub,hVbVb,6,4.87,787.15
16776,hubby,hVbi,5,6.74,614.9677419
16777,hubcap,hVbkap,6,4.19,694.3333333
16778,hubris,hjubrIs,6,5.84,959.0588235
16779,hubs,hVbz,4,7.9,598.3666667
16780,huckleberry,hVkLbEri,11,5.36,702.0689655
16781,huddle,hVtL,6,5.36,607.2758621
16782,huddled,hVtLd,7,5.99,682.7741935
16783,huddling,hVtLIN,8,4.01,717.9333333
16784,Hudson,hVdsn,6,8.39,620.4642857
16785,hue,hju,3,7.21,720.6071429
16786,hues,hjuz,4,5.48,681.2222222
16787,Huey,hjui,4,6.69,843.52
16788,huff,hVf,4,6.5,571.7241379
16789,huffy,hVfi,5,5.77,550.1428571
16790,hug,hVg,3,8.24,539.0714286
16791,huge,hjuJ,4,10.55,674.5517241
16792,hugged,hVgd,6,7.18,592.1785714
16793,hugging,hVgIN,7,6.89,567.137931
16794,Hugh,hju,4,8.68,749.04
16795,huh,h@,3,9.57,641.56
16796,hula,hul@,4,5.51,817.037037
16797,hulk,hVlk,4,8.41,594.6206897
16798,hulking,hVlkIN,7,4.76,727.5666667
16799,hulks,hVlks,5,4.62,585.2121212
16800,hull,hVl,4,8.54,569.3846154
16801,hullabaloo,hVl@b@lu,10,4.13,1067.045455
16802,hum,hVm,3,7.96,661.375
16803,human,hjum@n,5,12.1,583.037037
16804,humane,hjumen,6,7.56,896.8888889
16805,humanely,hjumenli,8,4.71,818.0416667
16806,humanism,hjum@nIzm,8,7.2,715.2307692
16807,humanist,hjum@nIst,8,6.92,732.08
16808,humanistic,hjum@nIstIk,10,6.51,880.1935484
16809,humanists,hjum@nIsts,9,6.18,902
16810,humanitarian,hjuman@tEri@n,12,7.82,898.2222222
16812,humanities,hjuman@tiz,10,7.94,830.5357143
16813,humanity,hjuman@ti,8,9,743.4827586
16814,humanize,hjum@n!z,8,4.96,820.2903226
16815,humankind,hjum@nk!nd,9,6.62,917.7142857
16816,humanly,hjum@nli,7,6.01,920.0833333
16817,humanness,hjum@nn@s,9,4.17,846.3
16818,humans,hjum@nz,6,10.01,814.2142857
16819,humble,hVmbL,6,8.54,570.6
16820,humbled,hVmbLd,7,6.15,569.6071429
16821,humbly,hVmbli,6,6.87,702.137931
16822,humbug,hVmbVg,6,5.29,719
16823,humdinger,hVmdIN#,9,2.3,1039.37037
16824,humdrum,hVmdrVm,7,3.61,778.4
16825,humerus,hjum#r@s,7,3.47,874.952381
16826,humid,hjumId,5,6.47,790
16827,humidify,hjumIt@f!,8,3.09,835.9375
16828,humidity,hjumIt@ti,8,7.51,872.3870968
16829,humiliate,hjumIliet,9,6.09,787.6538462
16830,humiliated,hjumIliet@d,10,6.63,795.1935484
16831,humiliating,hjumIlietIN,11,6.69,705.3333333
16833,humiliation,hjumIlieSn,11,7.38,1003.689655
16834,humility,hjumIl@ti,8,6.87,838.4482759
16835,hummed,hVmd,6,5.11,690.9354839
16836,humming,hVmIN,7,6.73,655.9642857
16837,hummingbird,hVmINb#d,11,6.38,776.2068966
16838,humor,hjum#,5,9.46,872.3793103
16839,humorist,hjum#Ist,8,5.04,872.6666667
16840,humorists,hjum#Ists,9,3.87,877.0434783
16841,humorous,hjum#@s,8,7.96,701.4827586
16842,hump,hVmp,4,6.64,647.7777778
16843,humpback,hVmpbak,8,4.74,652.3448276
16844,humped,hVmpt,6,5.39,645.8461538
16845,humph,hVmf,5,4.42,579.0833333
16846,Humphrey,hVmfri,8,7.26,715.9259259
16847,Humpty,hVmpti,6,5.73,639.5
16848,humus,hjum@s,5,4.42,917.9090909
16849,Hun,hVn,3,7.38,657.7586207
16850,hunch,hVnC,5,6.59,632.8
16851,hunchback,hVnCbak,9,5.49,661.0645161
16852,hunched,hVnCt,7,5.78,656.2592593
16853,hunches,hVnC@z,7,4.85,659.5714286
16854,hundred,hVndr@d,7,9.85,667.7
16855,hundredfold,hVndr@dfold,11,3.26,841.7037037
16856,hundreds,hVndr@dz,8,9.97,602.5
16857,hundredth,hVndr@dT,9,5.19,827.0625
16859,hung,hVN,4,9.05,704.9655172
16860,Hungarian,hVNgEri@n,9,8.39,756.037037
16861,Hungary,hVNg#ri,7,8.55,792.1666667
16862,hunger,hVNg#,6,8.04,585.2068966
16863,hungrier,hVNgri#,8,3.93,794.4285714
16864,hungry,hVNgri,6,8.75,614.1034483
16865,hunk,hVNk,4,6.84,643.0357143
16866,hunker,hVNk#,6,3.95,605.5357143
16867,hunt,hVnt,4,9.64,581.5
16868,hunted,hVnt@d,6,7.25,658.4137931
16869,hunter,hVnt#,6,9.46,574.0714286
